Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P10;Calculo das Taxas de Recursos;GPL_TRADING.PPE.0008.V4;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;ASTRA.PPE.0008.V4;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;BELLO.PPE.0054.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;DOURAMIX.PPE.0011.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;PLUMA_AGRO.PPE.0057.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;ASTRA.PPE.0009.V4;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;PLUSVAL.PPE.0057.V4;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;DF_AVES.PPE.0009.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;GPL_TRADING.PPE.0007.V4;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;PLUMA_AGRO.PPE.0058.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;CASSILANDIA.PPE.0014.V4;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Contabilização de Custos;COPRIMAR.PPE.0010.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Custo Gerencial Frango Vivo;PLUMA_AGRO.PPE.0336.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Custo Gerencial Frango Vivo;ASTRA.PPE.0016.V1;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;ASTRA.PPE.0010.V4;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;PLUMA_AGRO.PPE.0056.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;PLUSVAL.PPE.0061.V4;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;DF_AVES.PPE.0008.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;DOURAMIX.PPE.0010.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;MAIS_FRANGO.PPE.0016.V4;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;COPRIMAR.PPE.0011.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;CASSILANDIA.PPE.0016.V4;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Fechar Período de Custos;MAR_E_TERRA.PPE.0026.V4;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
