Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P2;Ordem de Produção (Fabrica de Ração) Em Terceiros - Astra Itapui;ASTRA.PPE.0014.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção (FFO) Em Terceiros - Astra Itapui;ASTRA.PPE.0012.V5;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção Frango Vivo - Astra Itapui;ASTRA.PPE.0017.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção (Frigorifico) Em Terceiros - Astra Itapui;ASTRA.PPE.0013.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção (Frigorifico) Ordem Processo - Astra;ASTRA.PPE.002.V6;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção Incubatório - Cassilandia;CASSILANDIA.PPE.0018.V5;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção Ovos Ferteis - Cassilandia;CASSILANDIA.PPE.0019.V3;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Realizar Fechamento de Custos;ASTRA.PPE.0011.V6;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Realizar Fechamento de Custos;CASSILANDIA.PPE.0017.V6;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Relatórios de Verificação de Custos;CASSILANDIA.PPE.0013.V6;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Relatórios de Verificação de Custos;ASTRA.PPE.0007.V6;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;BELLO.PPE.0054.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;PLUMA_AGRO.PPE.0057.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;GPL_TRADING.PPE.0008.V6;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;PLUMA_GEN.PPE.0018.V6;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;DF_AVES.PPE.0007.V6;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;DOURAMIX.PPE.0011.V6;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Calculo das Taxas de Recursos;COPRIMAR.PPE.0007.V6;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
